機構代碼,機構名稱
7101100026,臺北市立聯合醫院附設林森中醫居家護理所
7501180022,臺北市立聯合醫院附設和平婦幼居家護理所
1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院
1141090512,奇美醫療財團法人柳營奇美醫院
5938050120,家禾藥局
1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院
7501090014,臺北市立聯合醫院附設中興居家護理所
1101010021,基督復臨安息日會醫療財團法人臺安醫院
5901184919,和平藥局
5932042866,天乙藥局
1107120017,義大醫療財團法人義大癌治療醫院
1142010518,高雄市立鳳山醫院（委託長庚醫療財團法人經營）
1117010019,仁愛醫療財團法人台中仁愛醫院
1137050019,彰化基督教醫療財團法人員林基督教醫院
7501150015,臺北市立聯合醫院附設陽明居家護理所
1101020027,中心診所醫療財團法人中心綜合醫院
5901203777,興隆藥局
2501100010,國防部醫務組診所
1107350015,天主教聖功醫療財團法人聖功醫院
1142120001,義大醫療財團法人義大醫院
1136200015,仁愛醫療財團法人大里仁愛醫院
1138010019,彰化基督教醫療財團法人南投基督教醫院
1101010012,長庚醫療財團法人台北長庚紀念醫院
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院
5911071607,家安藥師藥局
2731220010,台灣電力公司第一核能發電廠員工診所
7501020012,臺北市立聯合醫院附設仁愛居家護理所
5901163312,秝安藥局
5932010560,均康藥局
1105050012,奇美醫療財團法人佳里奇美醫院
1141310019,奇美醫療財團法人奇美醫院
1103280012,醫療財團法人正德癌症醫療基金會佛教正德醫院
1137020520,彰化基督教醫療財團法人鹿港基督教醫院
7501120017,臺北市立聯合醫院附設忠孝居家護理所
1101020018,國泰醫療財團法人國泰綜合醫院
5901203740,健安藥局
1107320017,義大醫療財團法人義大大昌醫院
1142100017,長庚醫療財團法人高雄長庚紀念醫院
1136090519,佛教慈濟醫療財團法人台中慈濟醫院
1137080017,彰化基督教醫療財團法人二林基督教醫院
1101020036,宏恩醫療財團法人宏恩綜合醫院
1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院
1143010012,屏基醫療財團法人屏東基督教醫院
1137010024,彰化基督教醫療財團法人彰化基督教醫院
1138020015,埔基醫療財團法人埔里基督教醫院
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院
5931161513,苗園健保特約藥局
2731280016,台灣電力股份有限公司第二核能發電廠員工診所
1143130019,佑青醫療財團法人佑青醫院
1137010051,彰化基督教醫療財團法人漢銘基督教醫院
1303260014,中國醫藥大學兒童醫院
1143040010,恆基醫療財團法人恆春基督教醫院
1137010042,彰化基督教醫療財團法人彰化基督教兒童醫院
1303180011,亞洲大學附屬醫院
1101110026,康寧醫療財團法人康寧醫院
3401171170,台灣中油股份有限公司員工診所
1143150011,迦樂醫療財團法人迦樂醫院
1317020519,中國醫藥大學附設醫院台中東區分院
1101150011,新光醫療財團法人新光吳火獅紀念醫院
3432072022,台灣中油股份有限公司煉製事業部桃園煉油廠員工診所
