機構代碼,機構名稱,電話,縣市區名,地址,科別,Response_Address,Response_X,Response_Y
7101100026,臺北市立聯合醫院附設林森中醫居家護理所,,,臺北市中山區林森北路530號,,,121.525526,25.063451
7501020012,臺北市立聯合醫院附設仁愛居家護理所,,,臺北市大安區仁愛路四段10號,,,121.545302,25.03754
7501090014,臺北市立聯合醫院附設中興居家護理所,,,臺北市大同區鄭州路145號,,,121.508887,25.050692
7501120017,臺北市立聯合醫院附設忠孝居家護理所,,,臺北市南港區同德路87號,,,121.586157,25.046506
7501150015,臺北市立聯合醫院附設陽明居家護理所,,,臺北市士林區雨聲街105號,,,121.531566,25.105194
7501180022,臺北市立聯合醫院附設和平婦幼居家護理所,,,臺北市中正區中華路二段33號,,,121.506703,25.035591
1101010012,長庚醫療財團法人台北長庚紀念醫院,0227135211,臺北市松山區,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,",臺北市松山區中正里10鄰敦化北路6號,121.548556,25.050232
1101010021,基督復臨安息日會醫療財團法人臺安醫院,0227718151,臺北市松山區,"臺北市松山區八德路二段424,426號","家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,職業醫學科,牙醫一般科,",臺北市松山區中正里2鄰八德路二段449號,121.547323,25.048307
0907150029,秀傳醫療社團法人高雄秀傳紀念醫院,,,高雄市路竹區北嶺六路100號,,,120.265961,22.834333
1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),07 8036783,高雄市小港區,高雄市小港區山明里山明路482號B1-10樓、宏光街289號B3-10樓,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,職業醫學科,牙醫一般科,",高雄市小港區山明里20鄰山明路482號,120.363369,22.567467
1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,06-5702228,臺南市麻豆區,臺南市麻豆區麻佳路一段207號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,整形外科,職業醫學科,牙醫一般科,中醫一般科,",臺南市麻豆區埤頭里11鄰麻佳路一段207號,120.233033,23.179874
1105050012,奇美醫療財團法人佳里奇美醫院,06-7263333,臺南市佳里區,臺南市佳里區佳興里佳里興606號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,眼科,復健科,麻醉科,放射診斷科,急診醫學科,整形外科,職業醫學科,牙醫一般科,",臺南市佳里區佳興里6鄰佳里興606號,120.183662,23.181698
1107120017,義大醫療財團法人義大癌治療醫院,07-6150022,高雄市燕巢區,高雄市燕巢區角宿里義大路21號B2-10F,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,急診醫學科,整形外科,牙醫一般科,中醫一般科,",高雄市燕巢區角宿里20鄰義大路21號,120.365844,22.765915
1107320017,義大醫療財團法人義大大昌醫院,5599123,高雄市三民區,高雄市三民區大昌一路305號地下3樓至地上10樓、307號地上1樓、309號地下1樓至地上3樓、309號地上6樓至地上10樓及311號地下1樓至地上1樓,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,整形外科,牙醫一般科,中醫一般科,",高雄市三民區灣子里17鄰大昌一路305號,120.319936,22.657575
1107350015,天主教聖功醫療財團法人聖功醫院,07 2238153,高雄市苓雅區,高雄市苓雅區建國一路352號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,牙醫一般科,中醫一般科,",高雄市苓雅區民主里3鄰建國一路352號,120.323927,22.633118
