機構代碼,機構名稱,電話,縣市區名,地址,科別,Response_Address,Response_X,Response_Y
0907150029,秀傳醫療社團法人高雄秀傳紀念醫院,,,高雄市路竹區北嶺六路100號,,,120.265961,22.834333
2331200010,新北市坪林區衛生所,,,新北市坪林區坪林街104號,,,121.7116516,24.9359218
3501176168,太陽雨信義身心診所,,,臺北市信義區莊敬路176號,,,121.560796,25.031409
3505010189,東祐身心診所,,,臺南市新營區民權路96之16號,,,120.312199,23.308843
3537014255,好事彰化身心醫學診所,,,彰化縣彰化市民生路233號,,,120.542609,24.080248
5901102999,廣福中西藥局,,,臺北市中山區錦州街406號,,,121.541659,25.060113
5901103996,艾禾藥局,,,臺北市中山區大直街63號,,,121.546436,25.08353
5901163312,秝安藥局,,,臺北市北投區石牌路一段69號,,,121.51108,25.113565
5901184919,和平藥局,,,臺北市中正區中華路2段43號1樓,,,121.506373,25.035081
5901203740,健安藥局,,,臺北市文山區景興路165號,,,121.544663,24.993463
5901203777,興隆藥局,,,臺北市文山區興隆路3段84號2樓,,,121.556685,24.999694
5902042447,建佑藥局,,,高雄市楠梓區右昌街191號,,,120.288936,22.711535
5903271264,櫻嘉藥局,,,臺中市西屯區櫻花路107號,,,120.651002,24.170652
5907301432,冠徹藥局,,,高雄市左營區文自路355號,,,120.308797,22.675697
5911040228,大田大藥局,,,基隆市仁愛區仁二路五號,,,121.750704,25.127443
5911071607,家安藥師藥局,,,基隆市信義區信二路257號,,,121.74776,25.130103
5922021195,慶昇健保藥局,,,嘉義市西區中山路452號,,,120.444,23.4795
5931161513,苗園健保特約藥局,,,新北市泰山區仁愛路92號1,,,121.433145,25.055337
5932010560,均康藥局,,,桃園市桃園區中聖里國鼎一街27號,,,121.287522,24.987334
5932042866,天乙藥局,,,桃園市楊梅區新成路201號,,,121.147167,24.908299
5934022077,天一藥師藥局,,,宜蘭縣羅東鎮南昌街95號,,,121.770459,24.672324
5934100049,美麥藥局,,,宜蘭縣三星鄉三星路一段521號,,,121.715163,24.670007
5937012671,康好健保藥局,,,彰化縣彰化市光南里旭光路291號,,,120.544026,24.070723
5938011614,廣元藥局,,,南投縣南投市民族路225號,,,120.68804,23.908899
5938050120,家禾藥局,,,南投縣集集鎮民生路237號,,,120.779007,23.826739
5939032135,東仁藥局,,,雲林縣虎尾鎮東明路186號,,,120.43964,23.714808
5941161052,詠承藥局,,,臺南市西港區中山路358號,,,120.203281,23.122294
5943013148,杏芳藥局,,,屏東縣屏東市建豐路167號,,,120.505388,22.675806
5943131632,國信松藥局,,,屏東縣內埔鄉光明路284巷31號,,,120.567876,22.616418
7101100026,臺北市立聯合醫院附設林森中醫居家護理所,,,臺北市中山區林森北路530號,,,121.525526,25.063451
7501020012,臺北市立聯合醫院附設仁愛居家護理所,,,臺北市大安區仁愛路四段10號,,,121.545302,25.03754
7501090014,臺北市立聯合醫院附設中興居家護理所,,,臺北市大同區鄭州路145號,,,121.508887,25.050692
7501120017,臺北市立聯合醫院附設忠孝居家護理所,,,臺北市南港區同德路87號,,,121.586157,25.046506
7501150015,臺北市立聯合醫院附設陽明居家護理所,,,臺北市士林區雨聲街105號,,,121.531566,25.105194
7501180022,臺北市立聯合醫院附設和平婦幼居家護理所,,,臺北市中正區中華路二段33號,,,121.506703,25.035591
7545010032,國軍花蓮總醫院,,,花蓮縣新城鄉嘉里路163號,,,121.6074,24.024429
QY01100263,諾得特物理治療所,,,臺北市中山區建國北路2段65號,,,121.537257,25.0559
1101010012,長庚醫療財團法人台北長庚紀念醫院,0227135211,臺北市松山區,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,",臺北市松山區中正里10鄰敦化北路6號,121.548556,25.050232
1101010021,基督復臨安息日會醫療財團法人臺安醫院,0227718151,臺北市松山區,"臺北市松山區八德路二段424,426號","家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,職業醫學科,牙醫一般科,",臺北市松山區中正里2鄰八德路二段449號,121.547323,25.048307
